Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258085,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2003,SEX,FMLE,NA,NA,NA,NA,NA,NA,325 [178-560],325.2517,178.3342,560.4915,NA,2021-02-09T16:20:20.01+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
25258086,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2001,SEX,FMLE,NA,NA,NA,NA,NA,NA,255 [123-462],255.0533,123.317,462.0558,NA,2021-02-09T16:20:20.027+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
25258087,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2016,SEX,BTSX,NA,NA,NA,NA,NA,NA,3191 [1834-5396],3191.218,1834.45,5396.151,NA,2021-02-09T16:20:20.057+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
25258088,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2009,SEX,MLE,NA,NA,NA,NA,NA,NA,2144 [1237-3489],2143.947,1236.519,3489.413,NA,2021-02-09T16:20:20.073+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
25258089,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2001,SEX,MLE,NA,NA,NA,NA,NA,NA,1828 [977-3043],1828.033,977.2633,3043.093,NA,2021-02-09T16:20:20.137+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
25258090,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2019,SEX,FMLE,NA,NA,NA,NA,NA,NA,621 [294-1171],621.16,294.0672,1171.121,NA,2021-02-09T16:20:20.183+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25258091,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2016,SEX,MLE,NA,NA,NA,NA,NA,NA,2592 [1510-4349],2592.437,1510.452,4349.246,NA,2021-02-09T16:20:20.307+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
25258092,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2013,SEX,MLE,NA,NA,NA,NA,NA,NA,2308 [1302-3895],2307.519,1301.88,3894.663,NA,2021-02-09T16:20:20.323+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
25258093,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2004,SEX,BTSX,NA,NA,NA,NA,NA,NA,2407 [1330-4006],2407.386,1329.91,4005.64,NA,2021-02-09T16:20:20.34+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
25258094,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2009,SEX,FMLE,NA,NA,NA,NA,NA,NA,400 [201-721],399.5384,201.46190000000001,721.3872,NA,2021-02-09T16:20:20.45+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
25258095,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2007,SEX,BTSX,NA,NA,NA,NA,NA,NA,2478 [1387-4120],2478.267,1387.322,4119.695,NA,2021-02-09T16:20:20.463+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
25258096,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2015,SEX,MLE,NA,NA,NA,NA,NA,NA,2553 [1524-4197],2553.344,1524.106,4197.252,NA,2021-02-09T16:20:20.57+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
25258097,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2000,SEX,BTSX,NA,NA,NA,NA,NA,NA,2032 [1078-3409],2031.953,1078.197,3409.028,NA,2021-02-09T16:20:20.6+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
25258098,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2003,SEX,BTSX,NA,NA,NA,NA,NA,NA,2463 [1413-4015],2463.23,1413.014,4014.947,NA,2021-02-09T16:20:20.63+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
25258099,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2013,SEX,BTSX,NA,NA,NA,NA,NA,NA,2783 [1539-4756],2782.517,1539.352,4755.808,NA,2021-02-09T16:20:20.723+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
25258100,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2010,SEX,MLE,NA,NA,NA,NA,NA,NA,2234 [1306-3633],2233.73,1305.908,3632.708,NA,2021-02-09T16:20:20.757+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
25258101,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2007,SEX,FMLE,NA,NA,NA,NA,NA,NA,356 [179-632],356.3215,179.4863,632.4138,NA,2021-02-09T16:20:20.77+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
25258102,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2004,SEX,MLE,NA,NA,NA,NA,NA,NA,2077 [1163-3419],2076.907,1162.689,3418.677,NA,2021-02-09T16:20:20.82+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
25258103,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2002,SEX,BTSX,NA,NA,NA,NA,NA,NA,2300 [1312-3752],2299.757,1311.678,3751.816,NA,2021-02-09T16:20:20.85+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
